ID_ESTACION,FECHA,PREC,TMAX,TMIN,TMED,VMAX,VDIR,VMED,DMED,RAD,HUM,ETO,EVA,ID_ESTACION,ID_ESTADO,NOMBRE,ACTIVO
"38216","27.04.2009","0.","37.600000000000001","20.399999999999999","29.120000000000001","6.7000000000000002","0.","2.25","0.","526.52999999999997","62.420000000000002","5.2999999999999998","5.2199999999999998","38216","26","POBLADO C29","0"
"38216","28.04.2009","0.","37.","23.600000000000001","29.210000000000001","11.","0.","4.1900000000000004","0.","525.05999999999995","64.269999999999996","5.4000000000000004","5.4100000000000001","38216","26","POBLADO C29","0"
"38216","29.04.2009","0.","36.","21.199999999999999","27.719999999999999","12.","0.","2.98","0.","497.12","71.939999999999998","5.0999999999999996","4.6799999999999997","38216","26","POBLADO C29","0"
"38216","30.04.2009","0.","35.600000000000001","22.199999999999999","27.899999999999999","5.0999999999999996","0.","1.28","0.","371.10000000000002","75.739999999999995","3.5","3.5499999999999998","38216","26","POBLADO C29","0"
"38216","09.06.2008","7.5999999999999996","31.","23.600000000000001","26.260000000000002","10.","0.","1.26","0.","267.44","87.25","1.1000000000000001",,"38216","26","POBLADO C29","0"
"38216","10.06.2008","0.","30.300000000000001","23.5","26.640000000000001","3.1000000000000001","0.","0.72999999999999998","0.","296.97000000000003","86.75","2.6000000000000001","2.6499999999999999","38216","26","POBLADO C29","0"
"38216","11.06.2008","20.600000000000001","33.399999999999999","23.199999999999999","26.489999999999998","20.600000000000001","0.","1.6899999999999999","0.","413.54000000000002","88.329999999999998","4.","3.5","38216","26","POBLADO C29","0"
"38216","12.06.2008","0.","31.600000000000001","22.600000000000001","26.59","14.","0.","4.0800000000000001","0.","457.01999999999998","82.879999999999995","4.4000000000000004","4.0899999999999999","38216","26","POBLADO C29","0"
"38216","13.06.2008","0.59999999999999998","31.800000000000001","22.5","26.109999999999999","11.5","0.","3.4500000000000002","0.","478.92000000000002","84.200000000000003","4.5999999999999996","4.1299999999999999","38216","26","POBLADO C29","0"
"38216","14.06.2008","1.6000000000000001","32.299999999999997","22.5","26.140000000000001","9.3000000000000007","0.","2.4100000000000001","0.","336.52999999999997","84.030000000000001","3.1000000000000001","3.1600000000000001","38216","26","POBLADO C29","0"
"38216","15.06.2008","0.40000000000000002","32.","22.5","26.780000000000001","8.5","0.","2.7799999999999998","0.","369.64999999999998","82.959999999999994","3.5","3.4399999999999999","38216","26","POBLADO C29","0"
"38216","16.06.2008","0.","34.399999999999999","23.199999999999999","27.640000000000001","12.300000000000001","0.","1.7","0.","519.98000000000002","81.310000000000002","4.","4.4500000000000002","38216","26","POBLADO C29","0"
"38216","17.06.2008","0.","32.5","24.300000000000001","26.859999999999999","13.5","0.","3.2000000000000002","0.","277.67000000000002","87.620000000000005","0.69999999999999996","2.6699999999999999","38216","26","POBLADO C29","0"
"38216","18.06.2008","0.40000000000000002","33.299999999999997","23.199999999999999","27.5","10.300000000000001","0.","2.1699999999999999","0.","349.66000000000003","85.650000000000006","3.2999999999999998","3.1600000000000001","38216","26","POBLADO C29","0"
"38216","19.06.2008","0.","33.5","22.5","26.940000000000001","12.6","0.","2.2400000000000002","0.10000000000000001","421.89999999999998","82.430000000000007","4.0999999999999996","3.73","38216","26","POBLADO C29","0"
"38216","20.06.2008","0.","33.299999999999997","22.100000000000001","27.390000000000001","8.4000000000000004","0.","2.1899999999999999","0.","447.01999999999998","77.709999999999994","4.5999999999999996","4.0700000000000003","38216","26","POBLADO C29","0"
"38216","21.06.2008","32.","32.200000000000003","22.100000000000001","26.469999999999999","12.699999999999999","0.","2.5699999999999998","0.10000000000000001","286.56","82.340000000000003","2.7999999999999998","2.8399999999999999","38216","26","POBLADO C29","0"
"38216","22.06.2008","0.59999999999999998","31.300000000000001","22.300000000000001","26.109999999999999","6.9000000000000004","0.","3.0099999999999998","0.20000000000000001","325.13","89.489999999999995","2.7999999999999998","2.8500000000000001","38216","26","POBLADO C29","0"
"38216","23.06.2008","20.199999999999999","32.899999999999999","21.","25.469999999999999","11.300000000000001","0.","2.27","0.","369.01999999999998","88.799999999999997","3.2999999999999998","3.2000000000000002","38216","26","POBLADO C29","0"
"38216","24.06.2008","1.2","32.5","22.199999999999999","26.27","12.199999999999999","0.","4.8799999999999999","0.","494.94999999999999","82.569999999999993","4.4000000000000004","4.46","38216","26","POBLADO C29","0"
"38216","25.06.2008","11.","31.699999999999999","22.699999999999999","25.309999999999999","9.","0.10000000000000001","3.6000000000000001","0.","413.86000000000001","87.819999999999993","3.7000000000000002","3.6099999999999999","38216","26","POBLADO C29","0"
"38216","26.06.2008","0.59999999999999998","31.899999999999999","22.300000000000001","26.170000000000002","12.1","0.","3.3900000000000001","0.","466.68000000000001","82.890000000000001","4.5999999999999996","4.1699999999999999","38216","26","POBLADO C29","0"
"38216","27.06.2008","10.","30.600000000000001","22.600000000000001","25.100000000000001","6.7999999999999998","0.","1.8200000000000001","0.","317.48000000000002","88.840000000000003","2.3999999999999999","2.8100000000000001","38216","26","POBLADO C29","0"
"38216","28.06.2008","1.2","32.399999999999999","22.100000000000001","26.140000000000001","8.3000000000000007","0.","2.8199999999999998","0.","427.75","82.769999999999996","4.0999999999999996","3.8900000000000001","38216","26","POBLADO C29","0"
"38216","29.06.2008","20.800000000000001","32.200000000000003","21.600000000000001","25.879999999999999","10.5","0.","2.0899999999999999","0.","370.99000000000001","85.489999999999995","3.3999999999999999","3.3500000000000001","38216","26","POBLADO C29","0"
"38216","30.06.2008","7.5999999999999996","31.199999999999999","23.600000000000001","26.48","5.5999999999999996","0.","1.3600000000000001","0.","306.5","87.849999999999994","2.7000000000000002","2.7799999999999998","38216","26","POBLADO C29","0"
"38216","01.01.2009","0.","29.300000000000001","17.399999999999999","22.300000000000001","5.0999999999999996","0.","1.03","0.","470.94","85.959999999999994","3.7000000000000002","4.1200000000000001","38216","26","POBLADO C29","0"
